Date;Heure;Periode;Lien;Titre;Type;Durée (Reels);Nb Image (Carrousel);Contenue;Collaboration;Vues;Vues Followers;Vues Non Followers;Nb Interaction;Likes;Commentaires;Partage;Enregistrement;Activté du Profil;Visites du profil;Followers en plus;Appuis sur des liens externes;Hashtags
2024-09-18;06:10;Avant Trail;https://www.instagram.com/p/DAC2lfcOt_X/?img_index=1;Programme d'Entrainement S1;Carrousel;;3;Entrainement;Non;1925;1422,58;502,43;68,00;58;1;1;8;32;26;2;4;1
2024-09-20;06:00;Avant Trail;https://www.instagram.com/p/DAH_DwDolC7/?img_index=1;Guide d'Entrainement;Carrousel;;5;Entrainement;Non;1401;1085,78;315,23;37,00;37;0;0;0;5;5;0;0;2
2024-09-21;;Avant Trail;https://www.instagram.com/p/DAK6ZuisQXB/;Video Groupe Trail Urbain Non Officiel;Reels;00:52;;Reco;Non;3343;2029,20;1313,80;128,00;115;6;6;1;6;;6;;1
2024-09-22;18:22;Avant Trail;https://www.instagram.com/p/DAOdiRsIJlX/;Partenariat BFM Marseille Provence;Photo;;;Partenariat;Non;1670;1199,06;470,94;35,00;34;1;0;0;21;19;0;2;2
2024-09-23;16:40;Avant Trail;https://www.instagram.com/p/DAQ2voXslPy/?img_index=1;Programme d'Entrainement S2;Carrousel;;3;Entrainement;Non;2134;1295,34;838,66;69,00;54;5;3;7;32;27;2;3;0
2024-09-24;;Avant Trail;https://www.instagram.com/p/DASVEvYMnr-/;Trailer 4;Reels;00:51;;Trailer;Non;6355;3158,44;3196,57;149,00;120;4;21;4;6;;6;;2
2024-09-26;19:12;Avant Trail;https://www.instagram.com/p/DAY2d87Ml5H/?img_index=1;Courez dans le Cours Julien;Carrousel;;5;Présentation;Non;2443;1685,67;757,33;81,00;76;2;3;0;21;18;1;2;2
2024-09-28;11:01;Avant Trail;https://www.instagram.com/p/DAdH1VeMXzr/;Appel au bénévolat !;Photo;;;Appel;Non;1906;1244,62;661,38;43,00;38;1;2;2;34;21;0;13;2
2024-09-30;06:35;Avant Trail;https://www.instagram.com/p/DAhzDdOMenL/?img_index=1;Programme d'Entrainement S3;Carrousel;;3;Entrainement;Non;1921;1525,27;395,73;37,00;31;1;0;5;19;17;0;2;1
2024-10-03;;Avant Trail;https://www.instagram.com/p/DAp974XMgPK/;Reco Running Club maison mere;Reels;00:36;;Reco;Non;4888;1969,86;2918,14;102,00;86;6;9;1;8;;8;;1
2024-10-05;09:39;Avant Trail;https://www.instagram.com/p/DAvAFBgMXNH/;Courez au Fort Saint Jean;Photo;;;Présentation;Non;1844;1338,74;505,26;75,00;74;0;1;0;23;19;0;4;1
2024-10-07;07:25;Avant Trail;https://www.instagram.com/p/DAz6UesMUmS/;Courez au Mucem;Photo;;;Lieux;Non;2281;1218,05;1062,95;58,00;54;0;4;0;43;30;1;12;
2024-10-07;21:59;Avant Trail;https://www.instagram.com/p/DA1eT1isgF6/;Partenariat RTL2;Photo;;;Lieux;Non;1077;737,75;339,26;23,00;23;0;0;0;10;8;1;1;2
2024-10-08;17:49;Avant Trail;https://www.instagram.com/p/DA3mgxXMd1J/?img_index=1;Programme d'Entrainement S4;Carrousel;;3;Entrainement;Non;2100;1110,90;989,10;42,00;34;2;2;4;18;17;0;1;2
2024-10-10;18:10;Avant Trail;https://www.instagram.com/p/DA8ygCBMdOa/;M-1;Photo;;;Rappel;Non;5410;1563,49;3846,51;105,00;91;3;7;4;70;49;4;17;1
2024-10-12;07:34;Avant Trail;https://www.instagram.com/p/DBAzW4TsmBe/;Partenariat BV Sport;Photo;;;Partenariat;Non;1648;1216,22;431,78;41,00;41;0;0;0;13;11;0;2;2
2024-10-13;07:16;Avant Trail;https://www.instagram.com/p/DBDWCTOtQb8/;Malmousque;Photo;;;Lieux;Non;2309;1579,36;729,64;68,00;64;1;2;1;35;26;0;9;2
2024-10-14;16:41;Avant Trail;https://www.instagram.com/p/DBG7idosOtM/?img_index=2;Programme d'Entrainement S5;Carrousel;;4;Entrainement;Non;1918;1407,81;510,19;33,00;28;2;0;3;15;14;0;1;1
2024-10-15;18:56;Avant Trail;https://www.instagram.com/p/DBJvwLRs8K_/;Corniche Kenedy;Photo;;;Lieux;Non;1980;1205,82;774,18;77,00;71;1;4;1;10;8;0;2;1
2024-10-16;;Avant Trail;https://www.instagram.com/p/DBMNlqVCjGO/;Jeu Concours X cameron_chn;Reels;00:16;;Jeu Concours;Oui;28698;1147,68;27550,32;1718,07;1377;307;5;29;0;;;;3
2024-10-17;09:02;Avant Trail;https://www.instagram.com/p/DBN1VOfMQ_0/;Cathédrale de la Major;Photo;;;Lieux;Non;2581;1641,52;939,48;81,00;74;2;5;0;0;24;1;1;1
2024-10-18;14:57;Avant Trail;https://www.instagram.com/p/DBRC0pDMSBv/;Vallon des Auffes;Photo;;;Lieux;Non;2134;1416,98;717,02;51,00;49;0;2;0;22;18;1;3;2
2024-10-19;10:00;Avant Trail;https://www.instagram.com/p/DBTFjmoMalD/;Vieux Port;Photo;;;Lieux;Non;2183;1394,94;788,06;51,00;48;0;3;0;13;12;0;1;1
2024-10-20;17:55;Avant Trail;https://www.instagram.com/p/DBWgvU2sR4G/;Passedat;Photo;;;Lieux;Non;2855;1752,97;1102,03;58,00;55;0;2;1;18;16;0;2;2
2024-10-21;16:04;Avant Trail;https://www.instagram.com/p/DBY4zcKsmQ2/?img_index=1;Programme d'Entrainement S6;Carrousel;;3;Entrainement;Non;2970;1951,29;1018,71;52,00;43;3;0;6;63;48;3;12;1
